dist,force
5.445281981761812631e+02,1.880000000000000071e+01
5.437473398284896575e+02,1.880000000000000071e+01
5.432890608870511642e+02,1.889999999999999858e+01
5.424306883245836843e+02,1.930000000000000071e+01
5.418247801193847408e+02,1.980000000000000071e+01
5.414248037118684351e+02,1.980000000000000071e+01
5.401071339941320275e+02,1.980000000000000071e+01
5.389512318319711994e+02,1.880000000000000071e+01
5.385206554384197943e+02,nan
5.383354413443947806e+02,2.010000000000000142e+01
5.378224087446704971e+02,2.039999999999999858e+01
5.374073377004272061e+02,2.039999999999999858e+01
5.368043842566601143e+02,2.039999999999999858e+01
5.365895397844475383e+02,2.080000000000000071e+01
5.364215520087860796e+02,2.080000000000000071e+01
5.360169009139015088e+02,2.060000000000000142e+01
5.361520796445145152e+02,2.080000000000000071e+01
5.356962372862225266e+02,nan
5.360923293533501237e+02,nan
5.361603288819580939e+02,2.080000000000000071e+01
5.360663039019805183e+02,2.080000000000000071e+01
5.360279469260449332e+02,2.080000000000000071e+01
5.362306732315915951e+02,2.080000000000000071e+01
5.361117337767252593e+02,2.080000000000000071e+01
5.360867707673875202e+02,2.080000000000000071e+01
5.353163813312936554e+02,2.080000000000000071e+01
5.357609653363114148e+02,nan
5.358184828397223782e+02,nan
5.360151852724010269e+02,2.069999999999999929e+01
5.358235941142110050e+02,2.069999999999999929e+01
5.361126319762439607e+02,2.069999999999999929e+01
5.361757980687265217e+02,nan
5.364725632565497335e+02,2.060000000000000142e+01
5.365434742780905708e+02,2.060000000000000142e+01
5.367931963234187833e+02,2.060000000000000142e+01
5.364444505284860725e+02,2.060000000000000142e+01
5.366883952941833513e+02,2.060000000000000142e+01
5.367461619695404806e+02,2.080000000000000071e+01
5.368934904028926667e+02,2.080000000000000071e+01
5.368889574298243588e+02,2.039999999999999858e+01
5.368862937286332908e+02,2.089999999999999858e+01
5.366648745777887370e+02,2.089999999999999858e+01
5.364839314256554417e+02,2.030000000000000071e+01
5.367762974616796328e+02,2.030000000000000071e+01
5.370571089540993626e+02,2.030000000000000071e+01
5.369832359329707288e+02,2.030000000000000071e+01
5.369829272638503426e+02,nan
5.370702133526970101e+02,nan
5.370019181726569286e+02,2.019999999999999929e+01
5.372136222438560935e+02,nan
5.373354637159662843e+02,nan
5.370776205806326971e+02,2.010000000000000142e+01
5.372110525964404815e+02,2.010000000000000142e+01
5.372420885574475733e+02,2.010000000000000142e+01
5.374121062918407006e+02,2.010000000000000142e+01
5.373942173514121805e+02,2.010000000000000142e+01
5.370819038552127722e+02,2.010000000000000142e+01
5.368863229812359350e+02,2.010000000000000142e+01
5.368442398464146663e+02,2.010000000000000142e+01
5.367441829418720545e+02,2.010000000000000142e+01
5.366705059660083634e+02,2.010000000000000142e+01
5.367095394713675205e+02,2.010000000000000142e+01
5.366555906166275918e+02,2.010000000000000142e+01
5.367273698908207962e+02,2.010000000000000142e+01
5.367059281677911713e+02,nan
5.366740894014162677e+02,2.000000000000000000e+01
5.364393827045074659e+02,2.000000000000000000e+01
5.365829111610892141e+02,2.000000000000000000e+01
5.365399990430037178e+02,2.000000000000000000e+01
5.367600822121795545e+02,2.000000000000000000e+01
5.366417365470950926e+02,2.000000000000000000e+01
5.366146505150833264e+02,2.000000000000000000e+01
5.367810471342045275e+02,2.000000000000000000e+01
5.367970202372827089e+02,2.000000000000000000e+01
5.367145237653638787e+02,2.000000000000000000e+01
5.367145237653638787e+02,2.000000000000000000e+01
5.368745928152178521e+02,2.000000000000000000e+01
5.368745928152178521e+02,2.000000000000000000e+01
5.367303152304787091e+02,2.000000000000000000e+01
5.369127706362506842e+02,nan
5.369643617403369262e+02,1.989999999999999858e+01
5.370421983404555704e+02,1.989999999999999858e+01
5.371575283415849071e+02,1.989999999999999858e+01
5.371162652859604805e+02,1.989999999999999858e+01
5.368515000859866859e+02,1.989999999999999858e+01
5.362605567837669014e+02,1.989999999999999858e+01
5.360944712586917831e+02,1.989999999999999858e+01
5.361461442811960296e+02,1.989999999999999858e+01
5.363882127982431030e+02,1.980000000000000071e+01
5.364214127400448433e+02,1.980000000000000071e+01
5.365893828953843467e+02,1.980000000000000071e+01
5.368357686468641532e+02,1.980000000000000071e+01
5.367910571160310838e+02,nan
5.364772188022943737e+02,nan
5.365613029646967789e+02,1.989999999999999858e+01
5.365723386449906229e+02,1.989999999999999858e+01
5.366040972619451850e+02,1.950000000000000000e+01
5.365505707862198506e+02,1.950000000000000000e+01
5.365920118976270032e+02,1.950000000000000000e+01
5.364200863614661330e+02,1.950000000000000000e+01
5.363583003892828174e+02,1.950000000000000000e+01
5.362794554653025898e+02,1.950000000000000000e+01
5.364852601785445358e+02,1.950000000000000000e+01
5.364447802849003892e+02,1.980000000000000071e+01
5.362771534987003861e+02,1.919999999999999929e+01
5.360832815160053997e+02,1.919999999999999929e+01
5.361122436069925925e+02,1.980000000000000071e+01
5.363708410412921239e+02,1.900000000000000000e+01
5.364525325034802563e+02,1.900000000000000000e+01
5.364884421881333765e+02,1.880000000000000071e+01
5.365279589157835289e+02,1.889999999999999858e+01
5.367100309464694874e+02,1.889999999999999858e+01
5.366633556919115335e+02,1.889999999999999858e+01
5.367506911327600392e+02,1.889999999999999858e+01
5.369058713109232031e+02,1.889999999999999858e+01
5.369459256272501761e+02,1.889999999999999858e+01
5.368624346841725128e+02,1.889999999999999858e+01
5.369781982996138368e+02,1.889999999999999858e+01
5.369576119050295802e+02,1.889999999999999858e+01
5.368819260837136653e+02,1.889999999999999858e+01
5.368626616180691826e+02,1.889999999999999858e+01
5.369402069716986716e+02,1.880000000000000071e+01
5.370337329049654045e+02,1.900000000000000000e+01
5.371110928704706566e+02,1.900000000000000000e+01
